iter	Passed	Remaining
0	3	1162
1	15	2221
2	35	3484
3	46	3411
4	67	3947
5	76	3714
6	95	3990
7	107	3897
8	114	3671
9	125	3625
10	146	3824
11	168	4007
12	189	4156
13	192	3905
14	212	4003
15	234	4134
16	247	4094
17	267	4155
18	279	4109
19	290	4031
20	311	4114
21	333	4184
22	355	4254
23	376	4299
24	384	4201
25	390	4087
26	412	4140
27	432	4167
28	440	4083
29	461	4124
30	470	4056
31	490	4080
32	509	4089
33	529	4111
34	534	4015
35	538	3918
36	558	3942
37	578	3960
38	600	3985
39	617	3984
40	637	3994
41	656	4000
42	676	4013
43	682	3937
44	702	3949
45	723	3961
46	745	3979
47	765	3985
48	783	3982
49	787	3908
50	809	3922
51	830	3929
52	849	3927
53	870	3933
54	890	3933
55	910	3933
56	930	3934
57	952	3940
58	972	3940
59	993	3941
60	1013	3938
61	1033	3934
62	1052	3925
63	1073	3923
64	1092	3914
65	1113	3914
66	1135	3914
67	1154	3904
68	1160	3852
69	1181	3847
70	1201	3841
71	1221	3835
72	1242	3828
73	1261	3818
74	1270	3777
75	1289	3767
76	1312	3765
