id,click,hour,C1,banner_pos,site_id,site_domain,site_category,app_id,app_domain,app_category,device_id,device_ip,device_model,device_type,device_conn_type,C14,C15,C16,C17,C18,C19,C20,C21,hour_of_day,day_of_week
12077763291194942749,1,2014-10-21 00:00:00,1005,0,1fbe01fe,f3845767,28905ebd,ecad2386,7801e8d9,07d7df22,a99f214a,431b3174,1f0bc64f,1,0,15704,320,50,1722,0,35,-1,79,0,Tuesday
1278289357921634844,0,2014-10-21 00:00:00,1005,0,3695113d,8a9459c0,3e814130,ecad2386,7801e8d9,07d7df22,a99f214a,e7ab261c,1f0bc64f,1,0,20366,320,50,2333,0,39,100103,157,0,Tuesday
12787526307788910217,0,2014-10-21 00:00:00,1005,0,543a539e,c7ca3108,3e814130,ecad2386,7801e8d9,07d7df22,a99f214a,d0aa00c7,d787e91b,1,0,20352,320,50,2333,0,39,-1,157,0,Tuesday
13299734936063359934,0,2014-10-21 00:00:00,1005,0,1fbe01fe,f3845767,28905ebd,ecad2386,7801e8d9,07d7df22,a99f214a,ef85aaad,d787e91b,1,0,15705,320,50,1722,0,35,100084,79,0,Tuesday
13729967347747637203,0,2014-10-21 00:00:00,1005,0,85f751fd,c4e18dd6,50e219e0,1779deee,2347f47a,f95efa07,a99f214a,ba92cd0f,f186d2e8,1,0,20596,320,50,2161,0,35,-1,157,0,Tuesday
16215133785100414820,0,2014-10-21 00:00:00,1005,0,85f751fd,c4e18dd6,50e219e0,fc46e1c5,2347f47a,0f2161f8,a99f214a,3375ab1c,07d76b42,1,0,12026,320,50,1248,2,39,-1,13,0,Tuesday
18116594516242444156,0,2014-10-21 00:00:00,1005,1,57fe1b20,5b626596,f028772b,ecad2386,7801e8d9,07d7df22,a99f214a,8e841982,88fe1d5d,1,0,6563,320,50,572,2,39,-1,32,0,Tuesday
181748960086458877,0,2014-10-21 00:00:00,1005,0,1fbe01fe,f3845767,28905ebd,ecad2386,7801e8d9,07d7df22,a99f214a,ad5228cc,36d749e5,1,0,15703,320,50,1722,0,35,-1,79,0,Tuesday
2706323094347591670,0,2014-10-21 00:00:00,1005,0,85f751fd,c4e18dd6,50e219e0,de23f149,ae637522,0f2161f8,a99f214a,a54e8333,054c8edf,1,2,21611,320,50,2480,3,297,100111,61,0,Tuesday
3973460380059005265,1,2014-10-21 00:00:00,1005,0,9aef3962,d47b862d,3e814130,ecad2386,7801e8d9,07d7df22,a99f214a,91ee84b2,5ef191d3,1,0,19771,320,50,2227,0,687,100077,48,0,Tuesday
4475455657377856893,0,2014-10-21 00:00:00,1005,0,1fbe01fe,f3845767,28905ebd,ecad2386,7801e8d9,07d7df22,a99f214a,fe5db4fc,d787e91b,1,0,15701,320,50,1722,0,35,-1,79,0,Tuesday
4814346142934578790,0,2014-10-21 00:00:00,1005,0,6399eda6,968765cd,f028772b,ecad2386,7801e8d9,07d7df22,a99f214a,98c17f5c,68b6db2c,1,0,20251,320,50,2323,0,687,100081,48,0,Tuesday
5885004750801702396,0,2014-10-21 00:00:00,1005,0,85f751fd,c4e18dd6,50e219e0,febd1138,82e27996,0f2161f8,a99f214a,db219998,d056b4bf,1,0,21611,320,50,2480,3,297,100111,61,0,Tuesday
6214192852036346226,0,2014-10-21 00:00:00,1005,1,d9750ee7,98572c79,f028772b,ecad2386,7801e8d9,07d7df22,a99f214a,4cf55065,8571106b,1,0,17753,320,50,1993,2,1063,-1,33,0,Tuesday
708270698199566968,1,2014-10-21 00:00:00,1005,0,1fbe01fe,f3845767,28905ebd,ecad2386,7801e8d9,07d7df22,a99f214a,4dc1e0d5,1aa0e912,1,0,15705,320,50,1722,0,35,-1,79,0,Tuesday
7950838142634086510,0,2014-10-21 00:00:00,1005,0,85f751fd,c4e18dd6,50e219e0,e2fcccd2,5c5a694b,0f2161f8,5c2dbe9f,28942123,76dc4769,1,0,6560,320,50,571,2,39,100050,32,0,Tuesday
9424035685067907381,0,2014-10-21 00:00:00,1005,0,85f751fd,c4e18dd6,50e219e0,0acbeaa3,45a51db4,f95efa07,a99f214a,41453df7,31c2dcf9,1,0,20596,320,50,2161,0,35,-1,157,0,Tuesday
10898839679370157347,0,2014-10-21 01:00:00,1005,0,1fbe01fe,f3845767,28905ebd,ecad2386,7801e8d9,07d7df22,a99f214a,52508862,a76c4b0a,1,0,15703,320,50,1722,0,35,100084,79,1,Tuesday
10933213657695321162,0,2014-10-21 01:00:00,1005,1,e59ef3fc,0a4015b2,335d28a8,ecad2386,7801e8d9,07d7df22,a99f214a,0d87bbcf,8a4875bd,1,0,18993,320,50,2161,0,35,-1,157,1,Tuesday
11158103583701325008,0,2014-10-21 01:00:00,1005,0,1fbe01fe,f3845767,28905ebd,ecad2386,7801e8d9,07d7df22,a99f214a,6d30469d,1aa0e912,1,0,15701,320,50,1722,0,35,-1,79,1,Tuesday
11590467249146316465,0,2014-10-21 01:00:00,1005,1,5b4d2eda,16a36ef3,f028772b,ecad2386,7801e8d9,07d7df22,a99f214a,f1d37787,5ec45883,1,0,20251,320,50,2323,0,687,100081,48,1,Tuesday
12026141238651275728,0,2014-10-21 01:00:00,1005,1,17caea14,0dde25ec,f028772b,ecad2386,7801e8d9,07d7df22,a99f214a,92ce0fbe,88fe1d5d,1,0,19771,320,50,2227,0,687,100077,48,1,Tuesday
12302338288854435535,0,2014-10-21 01:00:00,1005,0,543a539e,c7ca3108,3e814130,ecad2386,7801e8d9,07d7df22,a99f214a,004b4a39,d787e91b,1,0,20366,320,50,2333,0,39,-1,157,1,Tuesday
12600244029447965796,0,2014-10-21 01:00:00,1005,1,57fe1b20,5b626596,f028772b,ecad2386,7801e8d9,07d7df22,a99f214a,e96add3b,76dc4769,1,0,16208,320,50,1800,3,167,100075,23,1,Tuesday
12666104901623031858,0,2014-10-21 01:00:00,1001,0,85f751fd,c4e18dd6,50e219e0,040daf6f,7801e8d9,7113d72a,8183719a,9853344e,f07e20f8,1,0,20153,320,50,2307,3,163,-1,61,1,Tuesday
13258880438916447306,1,2014-10-21 01:00:00,1005,0,1fbe01fe,f3845767,28905ebd,ecad2386,7801e8d9,07d7df22,a99f214a,f387c380,d787e91b,1,0,15703,320,50,1722,0,35,100084,79,1,Tuesday
13587519084906050453,0,2014-10-21 01:00:00,1005,0,85f751fd,c4e18dd6,50e219e0,2bc6bb64,7801e8d9,0f2161f8,a99f214a,5e9f2666,d10ca9bd,1,0,20596,320,50,2161,0,35,-1,157,1,Tuesday
13696821600146920480,0,2014-10-21 01:00:00,1005,0,a469e235,7b1e349b,335d28a8,ecad2386,7801e8d9,07d7df22,a99f214a,596bbb61,aad45b01,1,0,20984,320,50,2371,0,551,100217,46,1,Tuesday
14068386025285016985,0,2014-10-21 01:00:00,1005,0,f282ab5a,61eb5bc4,f028772b,ecad2386,7801e8d9,07d7df22,a99f214a,27ea0bb2,e4a6a646,1,0,20596,320,50,2161,0,35,-1,157,1,Tuesday
15421067761734163400,0,2014-10-21 01:00:00,1005,0,1fbe01fe,f3845767,28905ebd,ecad2386,7801e8d9,07d7df22,a99f214a,ab88bdf8,711ee120,1,0,15703,320,50,1722,0,35,-1,79,1,Tuesday
15716486935040187257,0,2014-10-21 01:00:00,1005,0,85f751fd,c4e18dd6,50e219e0,febd1138,82e27996,0f2161f8,a99f214a,810c3a37,b4b19c97,1,0,21611,320,50,2480,3,297,100111,61,1,Tuesday
15737185932674711852,0,2014-10-21 01:00:00,1005,1,5ee41ff2,17d996e6,f028772b,ecad2386,7801e8d9,07d7df22,a99f214a,fc75ef6d,9efa421a,1,0,19771,320,50,2227,0,687,100077,48,1,Tuesday
16154179247176044468,1,2014-10-21 01:00:00,1005,0,1fbe01fe,f3845767,28905ebd,ecad2386,7801e8d9,07d7df22,a99f214a,9b1fe278,553f099b,1,0,15699,320,50,1722,0,35,-1,79,1,Tuesday
16370182818225939587,1,2014-10-21 01:00:00,1005,0,d6137915,bb1ef334,f028772b,ecad2386,7801e8d9,07d7df22,a99f214a,a6404665,6e1e2240,1,0,16920,320,50,1899,0,431,100081,117,1,Tuesday
17435877465049330217,0,2014-10-21 01:00:00,1005,0,85f751fd,c4e18dd6,50e219e0,2f6efcf2,813f3323,0f2161f8,a99f214a,b9558432,ae7d30c3,1,0,21611,320,50,2480,3,297,100111,61,1,Tuesday
18043097200279436100,0,2014-10-21 01:00:00,1005,0,85f751fd,c4e18dd6,50e219e0,396df801,2347f47a,0f2161f8,a99f214a,8e0694d7,31f077f8,1,0,19251,320,50,2201,3,35,100221,43,1,Tuesday
18057581046327395756,0,2014-10-21 01:00:00,1005,0,686546d3,9d54950b,f028772b,ecad2386,7801e8d9,07d7df22,a99f214a,d0a7e837,451af639,1,0,19771,320,50,2227,0,687,-1,48,1,Tuesday
18234436125853724792,0,2014-10-21 01:00:00,1005,0,85f751fd,c4e18dd6,50e219e0,febd1138,82e27996,0f2161f8,a99f214a,3614c37e,9b5ce758,1,0,21611,320,50,2480,3,297,100111,61,1,Tuesday
2323637707723086957,0,2014-10-21 01:00:00,1005,0,1fbe01fe,f3845767,28905ebd,ecad2386,7801e8d9,07d7df22,a99f214a,431b3174,ecb851b2,1,0,15702,320,50,1722,0,35,-1,79,1,Tuesday
2528497476313048151,0,2014-10-21 01:00:00,1005,0,1fbe01fe,f3845767,28905ebd,ecad2386,7801e8d9,07d7df22,a99f214a,57cd4006,517bef98,1,0,15705,320,50,1722,0,35,-1,79,1,Tuesday
4352526296909395894,0,2014-10-21 01:00:00,1005,1,222acd54,de0f0f82,f028772b,ecad2386,7801e8d9,07d7df22,a99f214a,f43846e5,5ec45883,1,0,19771,320,50,2227,0,687,100074,48,1,Tuesday
4561887989365563367,0,2014-10-21 01:00:00,1005,1,e151e245,7e091613,f028772b,ecad2386,7801e8d9,07d7df22,a99f214a,3981e69f,8fa50375,1,0,17037,320,50,1934,2,39,-1,16,1,Tuesday
516197598355383334,1,2014-10-21 01:00:00,1005,0,1fbe01fe,f3845767,28905ebd,ecad2386,7801e8d9,07d7df22,a99f214a,e6960ac6,711ee120,1,0,15705,320,50,1722,0,35,-1,79,1,Tuesday
5187935211981622733,0,2014-10-21 01:00:00,1005,1,d9750ee7,98572c79,f028772b,ecad2386,7801e8d9,07d7df22,a99f214a,0688d498,4ea23a13,1,0,17753,320,50,1993,2,1063,-1,33,1,Tuesday
5294277121444801102,0,2014-10-21 01:00:00,1005,0,0338ff60,d074c603,f028772b,ecad2386,7801e8d9,07d7df22,a99f214a,e98856e6,84ebbcd4,1,0,18993,320,50,2161,0,35,-1,157,1,Tuesday
6078920801867261190,0,2014-10-21 01:00:00,1005,0,543a539e,c7ca3108,3e814130,ecad2386,7801e8d9,07d7df22,a99f214a,f08ee487,d787e91b,1,0,20352,320,50,2333,0,39,-1,157,1,Tuesday
6114721390263820937,0,2014-10-21 01:00:00,1002,0,7a34d501,264cc7ca,50e219e0,ecad2386,7801e8d9,07d7df22,0b99b617,4da8b7a5,43e7b962,0,0,19665,320,50,2253,2,303,-1,52,1,Tuesday
6525797011709080812,0,2014-10-21 01:00:00,1005,0,85f751fd,c4e18dd6,50e219e0,54c5d545,2347f47a,0f2161f8,68d6929e,fa1c6146,31b97c61,1,0,21611,320,50,2480,3,297,100111,61,1,Tuesday
7349381189934191487,0,2014-10-21 01:00:00,1005,1,b8eae5f9,1e334bd3,f028772b,ecad2386,7801e8d9,07d7df22,a99f214a,d6b26f46,be6db1d7,1,0,19950,320,50,1800,3,167,100079,23,1,Tuesday
820025718252931395,0,2014-10-21 01:00:00,1005,0,85f751fd,c4e18dd6,50e219e0,5e3f096f,2347f47a,0f2161f8,a99f214a,061b2450,6e5b2344,1,0,21611,320,50,2480,3,297,100111,61,1,Tuesday
8269705509497801589,1,2014-10-21 01:00:00,1005,1,d9750ee7,98572c79,f028772b,ecad2386,7801e8d9,07d7df22,a99f214a,fec9a8a7,94a6ac23,1,2,17753,320,50,1993,2,1063,-1,33,1,Tuesday
827239960773079738,0,2014-10-21 01:00:00,1005,0,85f751fd,c4e18dd6,50e219e0,98fed791,d9b5648e,0f2161f8,a99f214a,44f59b01,aad45b01,1,0,20980,320,50,2371,0,551,100217,46,1,Tuesday
9021117273819437506,0,2014-10-21 01:00:00,1005,0,543a539e,c7ca3108,3e814130,ecad2386,7801e8d9,07d7df22,a99f214a,ed20ddc0,d787e91b,1,0,20366,320,50,2333,0,39,-1,157,1,Tuesday
11337587260918261845,0,2014-10-21 02:00:00,1005,0,543a539e,c7ca3108,3e814130,ecad2386,7801e8d9,07d7df22,a99f214a,ed97cb73,3421dfe4,1,0,20366,320,50,2333,0,39,-1,157,2,Tuesday
12158869638567305051,0,2014-10-21 02:00:00,1005,0,cd58172f,b9c4ab81,f028772b,ecad2386,7801e8d9,07d7df22,a99f214a,69804614,cdf6ea96,1,0,21647,320,50,2487,1,547,100013,51,2,Tuesday
13313428156060099136,0,2014-10-21 02:00:00,1005,0,1fbe01fe,f3845767,28905ebd,ecad2386,7801e8d9,07d7df22,a99f214a,4901983c,a25f5408,1,0,15708,320,50,1722,0,35,100084,79,2,Tuesday
13847482272935027998,0,2014-10-21 02:00:00,1005,0,f6cba1bd,5c9c05b7,f028772b,ecad2386,7801e8d9,07d7df22,a99f214a,e7421fdf,84ebbcd4,1,0,21647,320,50,2487,1,547,-1,51,2,Tuesday
